Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
2015,9.1,41.0,0,0,1,0
2011,9.0,36.0,0,0,1,0
2021,6.5,50.0,1,0,0,0
2018,6.8,68.0,1,0,0,0
2015,7.1,68.0,1,0,0,0
2019,3.3,34.0,0,1,0,0
2016,7.4,13.0,0,1,0,0
2014,7.6,88.0,1,0,0,0
2016,8.7,96.0,1,0,0,0
1997,6.4,21.0,0,0,1,0
1983,8.3,10.0,0,0,1,0
2021,7.4,58.0,1,0,0,0
2018,6.1,42.0,1,0,0,0
2019,6.5,52.0,1,0,0,0
2015,7.2,10.0,0,0,1,0
2020,7.0,41.0,1,0,0,0
2016,7.2,54.0,0,1,0,0
2018,8.2,62.0,1,0,0,0
2010,7.3,69.0,0,1,0,0
2006,6.4,50.0,0,1,0,0
2011,6.6,52.0,0,1,0,0
2015,7.4,59.0,0,1,0,0
2010,6.5,20.0,0,0,1,0
2012,4.7,52.0,0,1,0,0
2016,6.2,53.0,0,1,0,0
2015,7.4,58.0,0,0,1,0
2017,7.3,13.0,0,0,1,0
2007,2.8,56.0,0,1,0,0
2014,7.5,13.0,0,0,1,0
2018,5.0,60.0,0,0,0,1
2020,6.2,38.0,1,0,0,0
2020,7.4,52.0,1,0,0,0
2018,6.8,41.0,0,0,1,0
2017,6.2,27.0,0,0,1,0
2020,7.5,46.0,1,0,0,0
2018,7.2,53.0,1,0,0,0
2008,8.2,17.0,1,0,0,0
2010,7.4,60.0,0,0,1,0
2013,6.1,18.0,0,0,1,0
2011,7.8,13.0,0,0,1,0
2019,6.8,53.0,1,0,0,0
2017,8.6,40.0,0,0,1,0
2020,6.5,48.0,0,0,1,0
2014,8.4,43.0,1,0,0,0
2017,7.0,55.0,1,1,0,0
2019,7.9,64.0,1,0,0,0
2020,7.0,50.0,0,1,0,0
2015,7.8,79.0,0,1,0,0
2020,8.3,47.0,0,0,0,1
2020,5.4,56.0,1,0,0,0
2014,7.5,37.0,0,1,0,0
2019,7.1,62.0,1,0,0,0
2011,7.1,57.0,0,1,0,0
2018,7.4,46.0,0,0,1,0
