Year,Age,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+,Age_na
2020,16+,6.0,62.0,0,1,0,0,0
2012,16+,6.6,55.0,0,0,0,1,0
1996,16+,8.5,70.0,0,1,1,0,0
2015,,6.8,13.0,0,0,1,0,1
2021,16+,8.0,89.0,0,0,0,1,0
2020,18+,7.5,61.0,1,0,0,0,0
2015,7+,8.8,83.0,1,1,0,0,0
2016,,6.4,13.0,0,0,1,0,1
2016,,7.4,13.0,0,0,1,0,1
2015,16+,7.5,50.0,1,0,0,0,0
2012,16+,7.4,52.0,1,1,0,0,0
2019,,7.2,42.0,1,0,0,0,1
2012,,6.3,41.0,1,0,0,0,1
2018,7+,7.1,36.0,0,1,0,0,0
2016,16+,6.3,54.0,0,0,1,0,0
2006,16+,9.0,84.0,1,1,0,0,0
2007,16+,4.3,35.0,0,0,1,0,0
2019,16+,4.5,46.0,1,0,0,0,0
2018,18+,7.7,50.0,1,0,0,0,0
1998,,6.9,10.0,0,0,1,0,1
2017,,7.7,10.0,0,0,1,0,1
2016,7+,5.7,43.0,1,0,0,0,0
2017,all,6.5,43.0,1,0,0,0,0
2012,18+,7.1,56.0,0,1,0,0,0
2016,,8.2,52.0,1,0,0,0,1
2016,16+,7.9,77.0,0,1,0,0,0
2021,16+,8.1,71.0,1,0,0,0,0
2011,16+,8.1,85.0,0,1,0,0,0
2017,7+,5.7,44.0,0,0,0,1,0
2014,18+,8.5,61.0,1,0,0,0,0
2018,all,8.2,61.0,0,0,1,0,0
2008,16+,8.0,66.0,1,0,1,0,0
2015,,4.2,28.0,0,1,0,0,1
2010,16+,7.7,63.0,1,0,0,0,0
1998,16+,7.1,55.0,0,1,0,0,0
2011,18+,8.3,89.0,0,1,0,0,0
2012,,7.9,13.0,0,0,1,0,1
2020,,6.6,33.0,0,0,0,1,1
2016,,8.1,16.0,0,0,1,0,1
2010,,6.2,21.0,0,0,1,0,1
2004,,5.7,54.0,0,0,1,0,1
2019,,7.5,32.0,0,1,0,0,1
1969,all,8.1,71.0,0,1,1,0,0
2018,16+,6.9,52.0,1,1,0,0,0
2015,18+,8.8,90.0,1,0,0,0,0
1989,all,7.0,64.0,0,1,0,0,0
2011,18+,7.8,79.0,0,1,0,0,0
2016,,6.5,10.0,0,1,0,0,1
1998,16+,7.2,71.0,0,1,0,0,0
2011,16+,4.4,28.0,0,1,0,0,0
2013,18+,5.4,42.0,0,0,1,0,0
2014,18+,8.9,92.0,0,1,0,0,0
2019,18+,7.9,68.0,0,1,0,0,0
2017,,6.1,20.0,0,0,1,0,1
2015,,8.4,34.0,0,1,0,0,1
2016,,8.0,47.0,0,0,1,0,1
2015,18+,8.0,31.0,0,1,0,0,0
2015,all,7.6,46.0,0,1,0,0,0
2017,16+,8.8,93.0,1,0,0,0,0
2019,16+,7.3,35.0,1,0,0,0,0
2018,18+,7.8,78.0,1,0,0,0,0
2012,,7.3,10.0,0,0,1,0,1
2016,18+,8.5,72.0,0,1,0,0,0
2017,7+,6.8,38.0,1,0,0,0,0
2020,18+,6.9,69.0,0,1,0,0,0
1958,,7.8,47.0,0,0,1,0,1
2010,,7.4,14.0,1,0,0,0,1
2018,18+,6.4,47.0,1,0,0,0,0
2021,7+,8.2,82.0,1,0,0,1,0
2003,16+,6.4,33.0,0,0,1,0,0
2018,18+,7.2,67.0,0,0,1,0,0
2012,18+,6.6,49.0,0,1,0,0,0
2000,16+,7.9,60.0,0,1,1,0,0
2015,16+,8.0,69.0,0,1,1,0,0
2005,all,8.5,45.0,0,0,1,0,0
2021,,8.7,62.0,1,0,0,0,1
2016,,6.6,54.0,1,0,1,0,1
2017,all,7.4,31.0,1,0,0,0,0
2008,,8.3,14.0,0,0,1,0,1
2011,,7.2,37.0,0,0,1,0,1
2017,,6.5,10.0,0,1,0,0,1
2018,,7.6,67.0,1,0,0,0,1
2018,16+,6.6,59.0,0,0,1,0,0
2007,18+,8.3,81.0,0,0,1,0,0
2020,7+,5.1,40.0,0,1,0,0,0
2018,all,7.1,43.0,1,0,0,0,0
2015,16+,6.9,47.0,0,1,0,0,0
1985,,8.2,50.0,0,0,1,0,1
2019,18+,8.5,86.0,1,0,0,0,0
2018,,7.3,10.0,0,0,1,0,1
2016,,7.5,13.0,0,1,0,0,1
2018,,7.6,44.0,0,0,1,0,1
2011,,5.0,33.0,1,0,0,0,1
2011,,6.4,24.0,0,0,1,0,1
2017,,8.2,13.0,0,0,1,0,1
1998,,7.4,48.0,0,0,1,0,1
2017,18+,7.0,56.0,0,1,0,0,0
2018,,6.1,17.0,0,0,1,0,1
1979,7+,7.7,54.0,0,0,1,0,0
2010,all,6.4,56.0,0,1,0,0,0
1997,16+,2.6,40.0,0,1,0,0,0
2017,7+,7.5,55.0,1,0,0,0,0
2014,,7.8,18.0,0,0,1,0,1
2013,7+,7.6,62.0,0,0,1,0,0
2021,18+,5.7,53.0,1,0,0,0,0
2017,,8.2,49.0,1,0,0,0,1
2015,18+,7.9,73.0,1,0,0,0,0
2019,18+,7.2,74.0,1,0,0,0,0
2018,all,9.6,71.0,0,0,0,1,0
2015,all,7.2,43.0,0,0,1,0,0
1955,all,8.1,47.0,0,0,0,1,0
2019,all,4.9,34.0,1,1,0,0,0
2013,18+,8.1,85.0,0,0,1,0,0
2013,,7.3,45.0,0,1,0,0,1
2013,,7.4,36.0,0,0,1,0,1
2020,,6.4,28.0,0,0,0,1,1
2021,,6.3,47.0,0,0,0,1,1
1983,all,6.7,55.0,1,0,0,0,0
2014,7+,7.3,47.0,0,0,1,0,0
2017,7+,6.9,59.0,1,0,0,0,0
2017,16+,7.3,75.0,0,1,0,0,0
1997,,8.2,21.0,0,1,0,0,1
1972,,8.2,48.0,1,0,0,0,1
2011,all,5.6,51.0,0,0,0,1,0
2015,7+,7.8,75.0,0,1,0,0,0
2012,7+,8.6,67.0,0,0,1,0,0
2019,,7.7,14.0,0,1,0,0,1
2017,18+,8.4,83.0,0,1,0,0,0
2020,18+,8.2,74.0,1,0,0,0,0
2011,7+,8.6,60.0,0,1,0,1,0
2018,18+,7.7,42.0,0,0,1,0,0
2015,16+,7.3,77.0,0,1,0,0,0
2006,7+,3.6,51.0,0,1,1,0,0
2019,,8.0,55.0,1,0,0,0,1
2016,16+,7.5,45.0,1,0,0,0,0
2019,,5.3,33.0,0,1,0,0,1
2011,,6.3,29.0,0,0,1,0,1
2016,all,5.7,34.0,0,1,0,0,0
2020,,8.6,75.0,0,1,0,0,1
2005,,7.3,49.0,0,0,1,0,1
2020,18+,7.4,69.0,0,1,0,0,0
2018,,7.4,33.0,0,0,1,0,1
2003,16+,8.7,87.0,1,1,0,0,0
2017,16+,7.8,49.0,1,0,0,0,0
2017,,5.1,16.0,0,0,1,0,1
2014,16+,6.7,68.0,1,0,0,0,0
2011,,5.9,36.0,0,1,0,0,1
2009,all,7.5,64.0,0,1,0,0,0
2013,,7.1,10.0,0,1,0,0,1
2007,18+,7.6,59.0,0,1,0,0,0
2002,,7.0,38.0,0,0,1,0,1
2009,16+,7.6,76.0,0,1,0,0,0
2018,,8.4,13.0,0,0,1,0,1
2019,all,7.8,47.0,1,0,0,0,0
1968,,8.4,51.0,0,1,0,0,1
1998,16+,8.9,80.0,0,1,0,0,0
2019,,6.6,38.0,0,0,1,0,1
2018,16+,7.6,59.0,1,0,0,0,0
1999,18+,8.4,64.0,0,0,1,0,0
2017,16+,7.4,49.0,0,1,1,0,0
2018,7+,6.7,65.0,1,0,0,0,0
2002,all,5.8,39.0,0,0,1,0,0
2016,18+,8.1,71.0,0,1,0,0,0
2019,18+,7.2,54.0,0,1,0,1,0
2017,,5.3,10.0,0,0,1,0,1
2020,16+,8.5,83.0,0,1,0,0,0
2018,,7.2,46.0,0,0,1,0,1
2018,16+,6.9,54.0,1,0,0,0,0
2010,7+,6.6,46.0,0,0,1,0,0
