Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
18,6.9,50.0,0,1,0,0
19,7.3,43.0,0,0,1,0
19,8.5,78.0,0,1,0,0
6,8.4,43.0,0,0,1,0
53,8.1,64.0,0,1,0,0
56,7.5,56.0,0,1,0,0
9,7.4,47.0,0,1,0,0
5,7.1,16.0,0,1,0,0
12,7.1,29.0,0,0,1,0
5,7.7,38.0,0,1,0,0
6,7.2,62.0,0,1,0,0
6,5.5,29.0,0,1,0,0
7,7.6,38.0,0,0,1,0
66,7.3,38.0,0,0,1,0
3,8.3,39.0,0,1,0,0
4,7.8,52.0,1,0,0,0
80,9.3,36.0,0,0,1,0
12,7.4,28.0,0,1,0,0
6,8.5,36.0,0,0,1,0
5,7.1,43.0,1,0,0,0
7,6.4,36.0,0,0,1,0
7,5.7,42.0,0,0,0,1
3,6.8,45.0,1,0,0,0
7,8.8,34.0,0,0,1,0
3,6.6,46.0,1,0,0,0
3,7.7,47.0,1,0,0,0
5,6.5,47.0,1,0,0,0
4,7.3,62.0,1,0,0,0
3,5.9,45.0,0,0,1,0
4,7.6,70.0,1,0,0,0
2,8.1,47.0,1,0,0,0
4,6.5,44.0,1,0,0,0
7,6.8,13.0,0,0,1,0
14,8.7,63.0,1,0,0,0
6,6.4,14.0,0,0,1,0
6,7.4,13.0,0,0,1,0
9,6.8,48.0,0,0,1,0
8,8.2,38.0,0,0,1,0
12,6.9,34.0,0,0,1,0
5,6.7,41.0,1,0,0,0
7,7.8,26.0,0,0,1,0
6,7.3,45.0,0,0,1,0
6,8.4,73.0,1,0,0,0
6,6.0,45.0,1,0,0,0
4,6.9,37.0,0,0,0,1
3,8.1,70.0,1,0,0,0
36,6.7,71.0,0,1,0,0
4,8.0,76.0,0,0,1,0
3,6.8,43.0,1,0,0,0
4,6.3,44.0,0,0,0,1
6,7.3,59.0,0,0,0,1
3,7.5,45.0,1,0,0,0
7,7.6,32.0,0,0,1,0
22,7.3,38.0,0,0,1,0
11,6.4,39.0,1,0,0,0
6,7.7,57.0,1,0,0,0
2,7.2,61.0,0,0,1,0
8,7.3,52.0,1,0,1,0
4,5.0,44.0,0,0,0,1
13,7.7,10.0,0,0,1,0
5,6.3,39.0,1,0,0,0
12,7.4,48.0,0,0,1,0
5,8.6,82.0,1,0,0,0
6,7.5,70.0,0,1,0,0
6,7.9,13.0,0,0,1,0
5,3.6,43.0,1,0,0,0
27,7.3,65.0,0,0,1,0
13,4.5,35.0,0,0,1,0
14,7.5,60.0,0,1,1,0
22,6.6,13.0,0,0,1,0
6,7.2,60.0,1,0,0,0
69,7.4,54.0,0,0,1,0
15,6.1,51.0,0,0,1,0
7,7.9,52.0,1,0,0,0
6,8.1,14.0,1,0,0,0
4,6.8,57.0,0,1,0,0
39,6.9,49.0,0,0,1,0
11,6.5,50.0,1,0,1,0
13,6.9,39.0,0,0,1,0
4,7.8,44.0,1,0,0,0
35,7.3,62.0,0,1,0,0
14,6.6,48.0,1,0,0,0
17,7.6,41.0,0,0,1,0
8,8.4,51.0,0,0,0,1
4,7.1,59.0,1,0,0,0
3,6.5,54.0,1,0,0,0
3,5.9,37.0,1,0,0,0
20,7.3,40.0,0,1,1,0
2,4.6,46.0,1,0,0,0
2,5.2,48.0,0,1,0,0
2,5.4,47.0,0,1,0,0
6,6.2,10.0,0,0,1,0
4,6.4,37.0,1,0,0,0
18,5.3,40.0,0,1,1,0
49,7.0,41.0,0,1,0,1
3,5.5,40.0,1,0,0,0
64,7.8,47.0,0,0,1,0
6,7.3,54.0,1,0,0,0
61,7.2,55.0,0,1,0,0
11,6.0,55.0,0,0,1,0
3,7.3,65.0,1,0,0,0
5,6.5,14.0,0,0,1,0
4,6.0,48.0,0,1,0,0
3,5.6,37.0,0,0,1,0
2,3.4,45.0,0,1,0,0
10,7.8,48.0,0,1,0,0
9,6.1,27.0,0,0,1,0
7,7.1,33.0,1,0,0,0
5,7.5,43.0,1,0,0,0
4,7.3,18.0,0,1,0,0
7,6.1,31.0,1,0,0,0
8,9.1,41.0,0,0,1,0
12,9.0,36.0,0,0,1,0
2,6.5,50.0,1,0,0,0
5,6.8,68.0,1,0,0,0
8,7.1,68.0,1,0,0,0
4,3.3,34.0,0,1,0,0
7,7.4,13.0,0,1,0,0
9,7.6,88.0,1,0,0,0
7,8.7,96.0,1,0,0,0
26,6.4,21.0,0,0,1,0
40,8.3,10.0,0,0,1,0
2,7.4,58.0,1,0,0,0
5,6.1,42.0,1,0,0,0
4,6.5,52.0,1,0,0,0
8,7.2,10.0,0,0,1,0
3,7.0,41.0,1,0,0,0
7,7.2,54.0,0,1,0,0
5,8.2,62.0,1,0,0,0
13,7.3,69.0,0,1,0,0
17,6.4,50.0,0,1,0,0
12,6.6,52.0,0,1,0,0
8,7.4,59.0,0,1,0,0
13,6.5,20.0,0,0,1,0
11,4.7,52.0,0,1,0,0
7,6.2,53.0,0,1,0,0
8,7.4,58.0,0,0,1,0
6,7.3,13.0,0,0,1,0
16,2.8,56.0,0,1,0,0
9,7.5,13.0,0,0,1,0
5,5.0,60.0,0,0,0,1
3,6.2,38.0,1,0,0,0
3,7.4,52.0,1,0,0,0
5,6.8,41.0,0,0,1,0
6,6.2,27.0,0,0,1,0
3,7.5,46.0,1,0,0,0
5,7.2,53.0,1,0,0,0
15,8.2,17.0,1,0,0,0
13,7.4,60.0,0,0,1,0
10,6.1,18.0,0,0,1,0
12,7.8,13.0,0,0,1,0
4,6.8,53.0,1,0,0,0
6,8.6,40.0,0,0,1,0
3,6.5,48.0,0,0,1,0
9,8.4,43.0,1,0,0,0
6,7.0,55.0,1,1,0,0
4,7.9,64.0,1,0,0,0
3,7.0,50.0,0,1,0,0
8,7.8,79.0,0,1,0,0
3,8.3,47.0,0,0,0,1
3,5.4,56.0,1,0,0,0
9,7.5,37.0,0,1,0,0
4,7.1,62.0,1,0,0,0
12,7.1,57.0,0,1,0,0
5,7.4,46.0,0,0,1,0
4,6.2,58.0,0,1,0,0
5,8.2,10.0,0,0,1,0
6,7.7,10.0,0,0,1,0
8,5.1,14.0,0,1,0,0
10,6.6,42.0,0,1,0,1
25,7.8,43.0,0,0,1,0
6,7.1,13.0,0,0,1,0
4,5.2,48.0,1,0,0,0
24,7.3,58.0,0,0,1,0
16,5.7,49.0,0,1,0,0
4,7.0,55.0,0,1,0,0
6,7.1,41.0,0,0,1,0
16,7.1,43.0,1,0,0,0
12,6.5,61.0,0,1,0,0
30,8.1,42.0,0,0,1,0
4,6.7,66.0,1,0,0,0
7,7.4,47.0,1,0,0,0
18,8.3,90.0,0,1,1,0
6,8.4,13.0,0,0,1,0
46,5.3,13.0,0,0,1,0
11,8.1,61.0,0,1,0,0
5,6.4,62.0,0,1,0,0
8,7.3,13.0,0,0,1,0
3,7.4,60.0,1,0,0,0
7,7.2,69.0,0,0,1,0
3,6.8,75.0,1,0,0,0
9,5.9,25.0,0,1,0,0
28,8.8,83.0,0,1,0,0
2,8.5,59.0,1,0,0,0
7,6.4,40.0,0,1,0,0
14,6.1,35.0,0,0,1,0
14,8.2,78.0,0,1,0,0
5,8.2,63.0,0,0,1,0
7,3.9,31.0,1,0,0,0
11,7.4,63.0,1,0,0,0
6,6.9,39.0,0,0,1,0
3,4.5,45.0,0,1,0,0
19,8.4,56.0,0,0,1,0
13,8.8,55.0,0,0,1,0
13,7.6,80.0,0,1,0,0
32,8.2,64.0,0,0,1,0
6,5.0,48.0,1,0,0,0
5,8.8,10.0,0,0,1,0
10,8.8,38.0,1,0,0,0
6,8.0,64.0,1,0,0,0
6,6.2,38.0,0,0,1,0
6,6.2,45.0,1,0,0,0
15,7.7,53.0,0,1,0,0
9,8.2,85.0,1,0,1,0
4,7.6,47.0,1,0,0,0
3,8.0,33.0,0,0,1,0
9,7.6,37.0,0,0,0,1
9,8.1,59.0,0,1,0,0
26,6.2,49.0,0,0,0,1
5,5.4,44.0,1,0,0,0
13,6.7,50.0,0,1,0,0
68,7.6,41.0,0,0,1,0
43,7.7,52.0,0,0,1,0
14,6.7,49.0,0,0,1,0
8,6.0,62.0,1,0,0,0
57,7.6,63.0,0,0,1,0
91,6.5,23.0,0,0,1,0
15,4.9,41.0,0,0,1,0
7,7.7,43.0,1,0,0,0
3,7.6,35.0,0,0,0,1
10,5.4,31.0,0,1,0,0
11,7.3,13.0,0,0,1,0
16,7.0,33.0,0,0,1,0
11,7.9,83.0,0,1,0,0
4,8.1,48.0,0,1,0,0
15,3.8,27.0,0,1,0,0
5,8.0,70.0,1,0,0,0
37,8.5,64.0,1,0,1,0
3,9.2,62.0,0,0,0,1
12,8.0,86.0,1,1,1,0
18,7.6,64.0,0,0,1,0
27,6.7,66.0,0,1,0,0
4,7.0,55.0,0,1,0,0
9,5.6,10.0,0,0,1,0
7,6.5,52.0,0,0,0,1
5,7.2,48.0,1,0,0,0
10,6.6,10.0,0,0,1,0
6,7.5,60.0,1,0,0,0
7,6.6,14.0,0,0,1,0
8,6.5,10.0,0,0,1,0
11,8.1,36.0,0,1,0,0
8,7.0,43.0,1,0,1,0
6,7.0,63.0,0,1,0,0
7,8.6,51.0,0,1,1,0
11,4.9,55.0,0,1,0,1
3,7.7,76.0,0,1,0,0
27,7.8,50.0,0,1,0,0
8,7.8,72.0,0,1,0,0
8,7.8,10.0,0,0,1,0
7,7.4,19.0,0,1,1,0
6,7.8,37.0,0,0,1,0
8,7.1,55.0,0,1,0,0
13,5.8,54.0,0,0,0,1
5,8.4,36.0,0,1,0,0
3,7.0,45.0,1,0,0,0
5,7.7,10.0,0,0,1,0
5,6.7,45.0,1,0,0,0
65,7.4,50.0,0,0,1,0
9,7.8,10.0,0,0,1,0
5,6.8,45.0,1,0,0,0
11,8.5,66.0,1,0,0,0
22,6.6,62.0,0,0,0,1
3,5.5,44.0,1,0,0,0
5,6.3,30.0,1,0,0,0
7,7.2,51.0,1,0,0,0
13,8.0,78.0,0,1,0,0
9,4.4,10.0,0,0,1,0
3,8.2,59.0,0,0,1,0
6,8.4,43.0,1,0,0,0
11,7.5,51.0,0,1,0,0
5,4.6,38.0,0,0,1,0
16,7.3,63.0,0,1,0,0
2,5.4,47.0,1,0,0,0
3,8.0,65.0,1,0,0,0
5,7.8,45.0,0,0,0,1
8,3.6,38.0,0,1,0,0
2,7.1,69.0,0,1,0,0
10,7.7,57.0,0,0,1,0
35,7.7,59.0,0,0,0,1
3,7.3,54.0,0,1,0,0
15,4.4,53.0,0,1,0,0
6,8.2,18.0,0,0,1,0
6,7.5,50.0,1,0,0,0
